,Pub.Priv,Year,Ave.Act,Num.33-36,Num.28-32,Num.24-27,Num.19-23,Num.17-18,Num.1-16,Num.NA,Num.Tot,Pct.33-36,Pct.28-32,Pct.24-27,Pct.19-23,Pct.17-18,Pct.1-16,Pct.NA,Pct.Tot
WILLIAM WOODS,Private,2006,22,0,12,36,84,27,8,28,195,0,0.061538461538462,0.184615384615385,0.430769230769231,0.138461538461538,0.041025641025641,0.143589743589744,1
HARRIS-STOWE,Public,2007,16.0890410958904,0,1,7,39,53,192,157,449,0,0.002227171492205,0.015590200445434,0.086859688195991,0.11804008908686,0.427616926503341,0.349665924276169,1
LINCOLN,Public,2007,17.4036697247706,0,4,39,149,104,249,61,606,0,0.006600660066007,0.064356435643564,0.245874587458746,0.171617161716172,0.410891089108911,0.100660066006601,1
MISSOURI SOUTHERN,Public,2007,21.8211829436038,1,77,152,336,96,65,91,818,0.001222493887531,0.094132029339853,0.185819070904645,0.410757946210269,0.117359413202934,0.079462102689487,0.111246943765281,1
MISSOURI STATE,Public,2007,23.8981233243968,19,466,816,1191,96,23,108,2719,0.006987863184994,0.171386539168812,0.300110334681868,0.438028687017286,0.035307098197867,0.008458992276572,0.0397204854726,1
MISSOURI UNIV. OF SCI. & TECH.,Public,2007,27.3,72,376,372,148,10,0,63,1041,0.069164265129683,0.3611911623439,0.357348703170029,0.142170989433237,0.009606147934678,0,0.060518731988473,1
MISSOURI WESTERN,Public,2007,19.6747809152872,1,48,145,376,207,250,73,1100,0.000909090909091,0.043636363636364,0.131818181818182,0.341818181818182,0.188181818181818,0.227272727272727,0.066363636363636,1
NORTHWEST,Public,2007,22.1418873048201,5,125,367,753,173,50,66,1539,0.003248862897986,0.081221572449643,0.238466536712151,0.489278752436647,0.112410656270305,0.032488628979857,0.042884990253411,1
SOUTHEAST,Public,2007,22.3266033254157,5,182,377,837,243,40,121,1805,0.002770083102493,0.100831024930748,0.208864265927978,0.463711911357341,0.134626038781163,0.022160664819945,0.067036011080332,1
TRUMAN,Public,2007,27.2224736048265,100,519,504,196,6,1,79,1405,0.071174377224199,0.369395017793594,0.358718861209964,0.139501779359431,0.004270462633452,0.000711743772242,0.056227758007118,1
